Address,Name,Online_Order,Book_Table,Rating,Contact,Location,Restaurant_Type,Cuisines,Budget,Persons,Listed(Type),Listed(City),
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75350",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Sea food,3500,2,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75351",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Continental,3500,2,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75352",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Desi,3500,2,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75354",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Sea food,7000,4,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75355",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Continental,7000,4,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75356",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Desi,7000,4,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75357",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Sea food,10000,6,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75358",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Continental,10000,6,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75359",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Desi,10000,6,"Lunch,
Hi-tea,
Dinner",Karachi,
"10/A, M.A.C.H.S? Main Shahrah-e-Faisal Rd, Mohammad Ali Society Muhammad Ali Chs (Machs), Karachi, Karachi City, Sindh 75359",LalQila Restaurant Karachi,Yes,Yes,4.2,021-111525745,Mohammad Ali Society,"Buffet,
hi-tea",Sea food,14000,8,"Lunch,
Hi-tea,
Dinner",Karachi,
